Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1961","1961","kg/ha","0.17","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1962","1962","kg/ha","0.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1963","1963","kg/ha","0.31","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1964","1964","kg/ha","0.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1965","1965","kg/ha","0.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1966","1966","kg/ha","0.7","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1967","1967","kg/ha","1.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1968","1968","kg/ha","1.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1969","1969","kg/ha","1.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1970","1970","kg/ha","1.43","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1971","1971","kg/ha","1.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1972","1972","kg/ha","2.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1973","1973","kg/ha","2.17","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1974","1974","kg/ha","2.02","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1975","1975","kg/ha","1.67","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1976","1976","kg/ha","1.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1977","1977","kg/ha","3.03","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1978","1978","kg/ha","3.52","E","Estimated value",""
