Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/ha","0.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/ha","0.51","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/ha","0.72","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/ha","0.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/ha","0.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/ha","1.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/ha","2.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/ha","2.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/ha","2.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/ha","3.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/ha","3.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/ha","3.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/ha","3.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/ha","2.83","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/ha","2.8","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/ha","3.84","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/ha","5.25","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/ha","6.66","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/ha","6.94","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/ha","7.32","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/ha","7.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/ha","7.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/ha","8.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","10.74","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","12.17","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1986","1986","kg/ha","13.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1987","1987","kg/ha","10.38","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1988","1988","kg/ha","15.22","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1989","1989","kg/ha","17.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1990","1990","kg/ha","18.37","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1991","1991","kg/ha","19.52","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1992","1992","kg/ha","16.73","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1993","1993","kg/ha","15.68","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1994","1994","kg/ha","17.21","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1995","1995","kg/ha","17.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1996","1996","kg/ha","17.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1997","1997","kg/ha","23.01","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1998","1998","kg/ha","24.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1999","1999","kg/ha","28.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","100","India","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2000","2000","kg/ha","24.77","E","Estimated value",""
